Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
9000-39190,7/14/2007,11:23,WC1,FCE,BTLH,M,AHY,3.8,49,18.1,31,5.1,N,,,,r5 white area in/outer web at tip
9000-39191,7/14/2007,11:50,WC1,FCE,RUHU,F,AHY,3.2,44.3,17,25.5,3.6,H,14c,L,,r1 skeleton
9000-39192,7/14/2007,12:10,WC1,FCE,BTLH,M,AHY,3.5,48.4,17.1,30.5,5,N,,,,
9000-39193,7/15/2007,7:19,MCGC,FCE,RUHU,F,AHY,3.5,44.7,17.1,26,2.3,L,20+c,,,or. pollen on bill
9000-39194,7/14/2007,18:03,MCGC,FCE,RUHU,F,HY,3.7,45,16.5,26,4,N,,L,85%,
9000-39195,7/14/2007,18:07,MCGC,TBE,RUHU,F,AHY,3.9,42.3,17.6,,3.5,N,17c,,,r1 growing in
9000-39196,7/14/2007,19:25,MCGC,TBE,RUHU,F,AHY,3.7,44.5,16.8,27.5,2.3,,20c,,,
9000-39197,7/14/2007,20:03,MCGC,TBE,RUHU,F,AHY,3.7,42.3,16.9,27,2.5,N,20c,,,
9000-39198,7/15/2007,7:57,MCGC,FCE,RUHU,F,AHY,3.5,43.3,17.3,26.2,2.5,VL,17c,L,,
9000-39199,7/16/2007,15:10,HPK1,TBE,BTLH,M,AHY,3.8,49.7,17.5,30.5,4.5,N,,,,"r5 sm rufous line, inner web"
9000-39200,7/14/2007,10:59,WC1,FCE,RUHU,M,AHY,3.6,40.2,15.5,28.9,2.4,N,,,,
9000-39201,5/13/2007,11:17,MP1,FCE,BTLH,F,AHY,3.8,50.4,18.6,30,5.3,M,,M,,"E6, old r3,4L, old tail coverts"
9000-39202,5/13/2007,11:19,MP1,FCE,BTLH,F,AHY,3.6,51.3,19.6,30.1,5.5,,5c,H,,"E6-, old r3L and tail coverts"
9000-39203,5/13/2007,11:21,MP1,FCE,BTLH,F,AHY,4.7,51,18.8,31,5.1,,,M,,"E8, r2 bn tip"
9000-39204,5/13/2007,11:50,MP1,FCE,BTLH,F,AHY,3.9,50.8,18.9,30.5,5.5,,5c,M,,"E7, r4L lt wear"
9000-39205,5/13/2007,12:01,MP1,FCE,BTLH,F,AHY,3.5,50.8,19.2,29.2,5,,,L,,r2 bn tip
9000-39206,5/13/2007,13:40,MP1,FCE,BTLH,F,AHY,3.6,50.5,19.3,32,5.5,,1c,,,"c.p., r3-5 brown fringe, back feathers same"
9000-39207,5/14/2007,16:25,MP1,FCE,BTLH,F,AHY,3.5,51.4,19,29,5.5,,1c,H,,"E6-, old r3L and tail coverts"
9000-39208,5/14/2007,16:42,MP1,FCE,BTLH,F,AHY,3.6,50.1,18.9,30,5.4,,,L,,"E6, spider webs on feathers"
9000-39209*,5/16/2007,16:33,MP1,FCE,BTLH,F,AHY,3.5,51.2,17.6,30.5,5.5,,1,L,,"*Foreign C55560, band replaced"
9000-39210,5/16/2007,17:16,MP1,FCE,BTLH,F,AHY,3.2,50.3,18,30.7,5.2,N,,L-M,,c.p. 
9000-39211,5/16/2007,17:18,MP1,FCE,BTLH,F,AHY,3.7,50.6,18.8,30.4,5,N,,L-M,,E6
9000-39212,5/17/2007,15:10,HPK1,TBE,BTLH,F,AHY,3.8,50.5,19,30.5,5,,,L,,E8
9000-39213,5/17/2007,15:20,HPK1,TBE,BTLH,F,AHY,4,49.4,28,30.5,5,L,,M,,"c.p., LTW r3-5"
9000-39214,5/20/2007,11:15,MP1,TBE,BTLH,F,AHY,3.7,49.7,18.5,30,6,,3c,H,,"E6, buff tips r3-5"
9000-39215,5/20/2007,11:16,MP1,FCE,BTLH,F,AHY,3.5,49.7,19.5,32,6,,,M,,c.p.
9000-39216,5/20/2007,11:46,MP1,FCE,BTLH,F,AHY,3.7,50.9,18.2,30.9,5.5,,,L,,"E6, r2,3,5 buff fringe"
9000-39217,5/20/2007,11:54,MP1,TBE,BTLH,F,AHY,3.5,50,19.5,30,5,M,,M,,"c.p., old r1s, r3-5 MTW"
9000-39218,5/20/2007,15:35,HPK1,FCE,BTLH,F,AHY,3.7,51.6,18.1,30.1,5,,,L-M,,"E8, r2 buff fringe, spider webs on wing and tail"
9000-39219,5/20/2007,15:35,HPK1,FCE,BTLH,F,AHY,3.5,48.9,19.2,30,6,,,L-M,,"E6, pin feathers on back"
9000-39220,5/20/2007,15:40,HPK1,FCE,BTLH,F,AHY,3.6,49.8,18.1,30,5.5,L,,M,,"E7, r3-5 LTW"
9000-39221,5/20/2007,16:02,HPK1,FCE,BTLH,F,AHY,4,51.1,19,31.8,5.5,N,,H,,E9
9000-39222,5/20/2007,16:35,HPK1,FCE,BTLH,F,AHY,3.8,49.3,18.5,29.9,5.5,N,,M-H,,E7
9000-39223,5/20/2007,16:46,HPK1,TBE,BTLH,F,AHY,3.9,49.6,19,31,5,L,,L,,"E8, old r1s, LTW r1-5"
9000-39224,5/21/2007,10:38,CC3,FCE,BTLH,F,AHY,3.6,50.8,18.8,30.5,5.5,,,,,E7
9000-39225,5/21/2007,16:04,MP1,TBE,BTLH,F,AHY,3.6,50.5,17.9,30.5,5,H,,,,"E8, HTW r3"
9000-39226,5/21/2007,16:23,MP1,TBE,BTLH,F,AHY,3.2,49.6,17.8,29,5,N,3 v sm,L-M,,c.p.
9000-39227,5/21/2007,16:47,MP1,TBE,BTLH,F,AHY,3.6,48.9,18.3,30,5.5,N,,M,,c.p.
9000-39228,5/21/2007,17:15,MP1,FCE,BTLH,F,AHY,3.3,50.1,18.8,30,5.8,N,,M,,"prob recently laid egg, r2 bn fringe at tip"
9000-39229,5/21/2007,17:26,MP1,FCE,BTLH,F,AHY,3.4,49.2,18.5,29,5.5,N,,M,,1 r1 skeleton
9000-39230,5/21/2007,19:39,MCGC,FCE,BTLH,F,AHY,3.8,50.4,18.2,29.9,5.2,N,3 v sm,L,,c.p.
9000-39231,5/23/2007,11:51,MP1,FCE,BTLH,F,AHY,3.4,49.2,18.7,29.8,5.2,N,,M,,E6-
9000-39232,5/23/2007,12:25,MP1,FCE,BTLH,F,AHY,3.6,50.2,18.2,30.2,5.8,N,,L,,E6-
9000-39233,5/23/2007,12:40,MP1,FCE,BTLH,F,AHY,4.1,50.6,18.2,31.1,5.6,N,,,,E8+
9000-39234,5/23/2007,11:19,MP1,FCE,BTLH,F,AHY,3.5,51,19,31.7,5.2,N,,M,,"c.p., bn tips r3-5"
9000-39235,5/23/2007,11:39,MP1,FCE,BTLH,F,AHY,3.2,49.5,17.6,30.3,5.2,N,,L,,"c.p., old r1s"
9000-39236,5/23/2007,12:12,MP1,FCE,BTLH,F,AHY,4.1,50.4,18.2,31,5.5,L-M,,,,"E9, r3-5R MTW, 1 skeleton r1, r3-5L LTW"
9000-39237,5/29/2007,10:31,MP1,FCE,BTLH,F,AHY,3.8,51.4,18.2,29.5,5.1,N,,M,,"c.p., r2 stress bar near tip"
9000-39238,5/29/2007,10:48,MP1,FCE,BTLH,F,AHY,3.8,50.7,19,30.4,5.2,N,,L-M,,E6
9000-39239,5/29/2007,11:04,MP1,FCE,BTLH,F,AHY,3.2,51.2,18.8,30,5.5,N,,H,,c.p.
9000-39240,5/29/2007,15:13,MP1,FCE,BTLH,F,AHY,3.7,50.1,19,30.9,5.2,N,2c,M,,E6
9000-39241,5/30/2007,9:38,MP1,FCE,BTLH,F,AHY,3.7,49.9,18.4,29.8,5.2,N,2 sm c,M-H,,c.p.
9000-39242,5/30/2007,10:55,MP1,FCE,BTLH,F,AHY,3.7,51.9,19,28.8,5,N,1 v sm,L,,E6
9000-39243,5/30/2007,14:09,HPK1,FCE,BTLH,F,AHY,4.8,51.2,18.8,30.2,5.8,N,,M,,E9+
9000-39244,5/31/2007,7:35,MCGC,FCE,BTLH,F,AHY,3.7,51.6,18.2,30.7,6,N,,L,,c.p.
9000-39245,6/4/2007,16:30,KV1,TBE,BTLH,F,AHY,3.6,50.6,17.9,31,5,N,,M,,c.p.
9000-39246,6/4/2007,16:38,KV1,TBE,BTLH,F,AHY,4,49.2,19,30.5,5.1,N,,M,,"E9, r3-5 buff tips"
9000-39247,6/4/2007,16:42,KV1,TBE,BTLH,F,AHY,3.6,48.4,18.9,30,4.5,N,,L,,"E6, buff tips r3-5"
9000-39248,6/4/2007,16:50,KV1,FCE,BTLH,F,AHY,4.3,50.1,18.4,30,5.5,L,,L,,"E9, r3-5 LTW"
9000-39249,6/4/2007,16:55,KV1,TBE,BTLH,F,AHY,4.2,50.1,19.1,30.5,5,N,,L,,E9
9000-39250,6/5/2007,6:37,MCGC,FCE,BTLH,F,AHY,3.3,50.6,19.2,30.8,5.3,N,,H,,c.p.
9000-39251,6/5/2007,7:14,MCGC,FCE,BTLH,F,AHY,3.7,50.8,19,30,5.2,N,,L,,E7
9000-39252,6/5/2007,7:30,MCGC,TBE,BTLH,F,AHY,3.3,49.5,19,29.5,5,N,,L,,c.p.
9000-39253,6/5/2007,7:40,MCGC,FCE,BTLH,F,AHY,3.8,50.3,18.4,29.8,5.2,N,1c,L,,E8
9000-39254,6/5/2007,12:20,MP1,FCE,BTLH,F,AHY,4.4,50.1,19,31.2,5.3,N,,H,,"E9, r2 black tip"
9000-39255,6/5/2007,13:04,MP1,FCE,BTLH,F,AHY,3.6,50.6,19.2,31,5.5,N,,L,,c.p.
9000-39256,6/5/2007,13:10,MP1,FCE,BTLH,F,AHY,,49,,,,,,M,,"E6, r2 white tip, stressed-early release"
9000-39257,6/5/2007,13:35,MP1,FCE,BTLH,F,AHY,3.7,51.2,18.2,30.5,5.1,N,,L,,c.p.
9000-39258,6/5/2007,13:40,MP1,FCE,BTLH,F,AHY,3.6,50.8,19.4,30,5.5,N,,M,,E6
9000-39259,6/5/2007,13:50,MP1,FCE,BTLH,F,AHY,3.9,51.5,19.1,30,6,H,,L,,"c.p., r3R, r3,5L HTW"
9000-39260,6/5/2007,13:55,MP1,FCE,BTLH,F,AHY,3.7,50,19,30.4,5.1,N,8c,M,,c.p.
9000-39261,6/5/2007,15:45,HPK1,FCE,BTLH,F,AHY,4.1,49.6,18.2,30.7,5.5,N,,L,,"E8, r2 buff tip"
9000-39262,6/6/2007,16:30,MCGC,FCE,BTLH,F,AHY,3.9,49,18.5,29,5.5,L,,L,,"c.p., r1 sm stress bar, LTW r3-5"
9000-39263,6/6/2007,16:43,MCGC,FCE,BTLH,F,AHY,3.6,49.7,18.1,30.2,5.4,N,,L,,"E6, missing many throat feathers"
9000-39264,6/6/2007,17:23,MCGC,FCE,BTLH,F,AHY,4,50.7,18.6,31.2,5.3,N,,M,,E6+
9000-39265,6/6/2007,17:30,MCGC,FCE,BTLH,F,AHY,4.2,50.1,18.5,30.2,5.5,N,,H,,E8
9000-39266,6/6/2007,17:54,MCGC,FCE,BTLH,F,AHY,3.8,51.1,18,30.2,5.9,N,6c,H,,E6
9000-39267,6/7/2007,13:55,MCGC,FCE,BTLH,F,AHY,4.2,51,19,30.1,5.3,N,,M,,E8
9000-39268,6/7/2007,14:24,MCGC,FCE,BTLH,F,AHY,3.9,49.4,18,30.7,5,L,,L,,"E7, r3,4L and r3R LTW "
9000-39269,6/7/2007,14:45,MCGC,FCE,BTLH,F,AHY,3.7,49.6,19,29.1,5,N,,L,,E6
9000-39270,6/7/2007,15:01,MCGC,FCE,BTLH,F,AHY,3.7,51.2,18.8,29.5,5.5,N,2c,M,,c.p.
9000-39271,7/5/2007,18:52,CC3,FCE,BTLH,F,AHY,3.7,50.9,18.2,31.4,5.5,N,,M,,"c.p., lost 1 r2"
9000-39272,6/7/2007,15:26,MCGC,FCE,BTLH,F,AHY,3.8,49.7,19.3,29,5.1,L,,M,,"r3-5 LTW, lost 5 rectrices"
9000-39273,6/8/2007,7:46,MCGC,FCE,BTLH,F,AHY,3.2,51.1,18.5,30.4,6,N,,M-H,,"c.p., 2 v sm gf ctr"
9000-39274,6/8/2007,7:46,MCGC,FCE,BTLH,F,AHY,3.4,48.9,19.2,29.2,5.5,N,,L-M,,c.p.
9000-39275,6/8/2007,8:00,MCGC,FCE,BTLH,F,AHY,4.3,49.9,19,30.7,5,N,,M,,E9
9000-39276,6/8/2007,8:01,MCGC,TBE,BTLH,F,AHY,3.4,49.8,18.3,29.9,5.1,M,2c,H,,c.p.
9000-39277,6/8/2007,16:53,MP1,TBE,BTLH,F,AHY,3.8,49.7,19.2,32,6,N,,H,,c.p.
9000-39278,6/8/2007,17:10,MP1,TBE,BTLH,F,AHY,4.1,50.5,17.6,30,6,N,,H,,c.p.
9000-39279,6/8/2007,17:10,MP1,TBE,BTLH,F,AHY,3.9,51.1,17.9,30,6,N,,L,,c.p.
9000-39280,6/8/2007,17:10,MP1,TBE,BTLH,F,AHY,4,50,18.1,30,6,N,,VL,,E7
9000-39281,6/8/2007,17:17,MP1,TBE,BTLH,F,AHY,4.1,48.2,18.3,30,5,N,,M-H,,"e6, r3-5 buff tips, v old upper tail coverts"
9000-39282,6/8/2007,17:25,MP1,FCE,BTLH,F,AHY,3.7,50.6,18.9,31.1,5.5,N,4 sm,M,,
9000-39283,6/8/2007,17:25,MP1,FCE,BTLH,F,AHY,3.5,50.3,18.2,31.2,5.4,N,,M,,c.p.
9000-39284,6/8/2007,18:04,MP1,FCE,BTLH,F,AHY,4.2,51.2,18.2,30.2,5.8,N,,M,,"E6, old r1"
9000-39285,6/8/2007,18:04,MP1,FCE,BTLH,F,AHY,3.9,50.7,18.5,30.4,5.3,H,4c,H,,"c.p., r3-5L HTW"
9000-39286,6/8/2007,18:04,MP1,FCE,BTLH,F,AHY,4,49.2,19,29,5.5,N,,L,,E7
9000-39287,6/8/2007,18:04,MP1,FCE,BTLH,F,AHY,3.7,49.7,18,30.5,5,N,,M,,c.p.
9000-39288,6/8/2007,18:25,MP1,FCE,BTLH,F,AHY,3.6,50.2,19,31.2,5.7,L,,M,,"E7, r1 stress bar, old r1"
9000-39289,6/8/2007,18:25,MP1,FCE,BTLH,F,AHY,3.4,50.8,18.6,30.9,5.8,N,3c,M,,c.p.
9000-39290,6/8/2007,18:25,MP1,FCE,BTLH,F,AHY,3.9,50.9,18.5,31.5,5.4,N,4c,L,,"c.p., new r1"
9000-39291,6/8/2007,18:45,MP1,FCE,BTLH,F,AHY,3.6,50.9,19.1,30.2,5.3,N,,L,,E6
9000-39292,6/8/2007,18:45,MP1,FCE,BTLH,F,AHY,3.6,50.5,18.2,30.2,5.1,N,,L,,E6
9000-39293,6/9/2007,7:17,MCGC,FCE,BTLH,F,AHY,3.4,49.2,18.7,30.4,5.2,N,,,,c.p.
9000-39294,6/9/2007,8:10,MCGC,FCE,BTLH,F,AHY,4.2,49.1,19.8,30.7,6,N,,L,,E8
9000-39295,6/9/2007,8:40,MCGC,TBE,BTLH,F,AHY,3.5,50,18.7,31,5.5,N,,L,,"c.p., r3-5 buff fringe at tip"
9000-39296,6/9/2007,8:55,MCGC,TBE,BTLH,F,AHY,3.9,51.1,18,30.5,6,N,7,H,,"c.p., chevron shape gf pattern"
9000-39297,6/9/2007,13:50,MP1,FCE,BTLH,F,AHY,4,50.4,19,28,4.5,L,,M,,r5 LTW
9000-39298,6/9/2007,13:50,MP1,FCE,BTLH,F,AHY,3.7,50.6,19.8,30.2,5.5,N,,M-H,,c.p.
9000-39299,6/9/2007,13:50,MP1,FCE,BTLH,F,AHY,3.5,51.4,18.8,30.2,6,N,6c,M-H,,"c.p., chevron shape gf pattern"
9000-39300,6/9/2007,14:15,MP1,FCE,BTLH,F,AHY,3.8,49.4,18.2,30,5.3,N,,L,,E6
9000-39301,6/9/2007,14:31,MP1,FCE,BTLH,F,AHY,3.5,51.3,19.9,30.2,5,N,,L,,"c.p., r1 stress bar 8mm from tip"
9000-39302,6/9/2007,14:31,MP1,FCE,BTLH,F,AHY,4,48.9,18.6,29,5.3,N,5 v sm,L-M,,E6
9000-39303,6/9/2007,14:45,MP1,FCE,BTLH,F,AHY,3.8,49.5,18.3,30.3,5,N,,L-M,,E6
9000-39304,6/12/2007,9:09,MCGC,FCE,BTLH,F,AHY,3.9,48.8,19,30.3,4.8,M,,L-M,,"E7, r3-5 MTW, old r1"
9000-39305,6/12/2007,9:23,MCGC,FCE,BTLH,F,AHY,3.4,49.5,18,30.8,5.7,N,,M,,c.p.
9000-39306,6/12/2007,9:45,MCGC,FCE,BTLH,F,AHY,3.6,50.6,18.5,30.1,6.1,N,,L,,E6
9000-39307,6/12/2007,9:55,MCGC,FCE,BTLH,F,AHY,3.6,49.9,18.9,29.7,5.3,N,,H,,c.p.
9000-39308,6/12/2007,10:06,MCGC,FCE,BTLH,F,AHY,3.8,50.5,18.2,30.9,5.3,M,2c,M-H,,"c.p., r4-5 M-HTW"
9000-39309,6/12/2007,10:06,MCGC,FCE,BTLH,F,AHY,3.5,50.4,18.9,29.5,5.2,N,,L-M,,c.p.
9000-39310,6/12/2007,10:30,MCGC,FCE,BTLH,F,AHY,3.5,49.8,18.5,31,4.9,N,,M,,"E6-, r3L, r5s black spot on tip"
9000-39311,6/12/2007,11:21,MCGC,FCE,BTLH,F,AHY,3.2,49.2,18.8,30,5,L,1 v sm,L,,c.p.
9000-39312*,6/12/2007,13:46,MP1,FCE,BTLH,F,AHY,3.9,51.1,18.3,30,5.2,L,2 sm c,M,,"E8, *Former C53708"
9000-39313,6/12/2007,13:46,MP1,FCE,BTLH,F,AHY,3.6,49.7,18.8,30.2,5,N,4 sm,M,,E6
9000-39314,6/12/2007,14:14,MP1,FCE,BTLH,F,AHY,3.6,50.3,18.2,29.1,5.2,L-H,,M-H,,"E6, r3-5R HTW, r5L LTW"
9000-39315,6/12/2007,14:45,MP1,FCE,BTLH,F,AHY,3.7,51.8,19,30.9,5.2,M,,L,,"c.p., r2-5 MTW"
9000-39316,6/12/2007,14:45,MP1,FCE,BTLH,F,AHY,3.3,50.5,17.9,31.1,5.3,N,1 v sm,L-M,,E6
9000-39317,6/12/2007,15:12,MP1,FCE,BTLH,F,AHY,3.9,50.6,18.8,29.9,6,N,,M,,E8
9000-39318,6/12/2007,15:30,MP1,FCE,BTLH,F,AHY,4,50.3,18.8,30.2,5.5,L,2 sm c,L,,"E8, r3-5 LTW"
9000-39319,6/12/2007,15:30,MP1,FCE,BTLH,F,AHY,3.8,50.7,17.5,30.8,6,L,,L,,"c.p., r3-4 LTW"
9000-39320,6/12/2007,15:30,MP1,FCE,BTLH,F,AHY,3.5,49.1,17.8,29.6,5.2,N,10c,M-H,,"c.p., white feather on crown"
9000-39321,6/12/2007,15:30,MP1,FCE,BTLH,F,AHY,3.9,51.7,18.1,32.2,5.8,N,,L,,c.p.
9000-39322,6/12/2007,16:05,MP1,FCE,BTLH,F,AHY,3.6,50.9,18.1,30.5,5.6,L,,M,,
9000-39323,6/12/2007,16:40,MP1,FCE,BTLH,F,AHY,3.8,51.2,18.1,30.6,5.8,N,,M,,E7
9000-39324,6/12/2007,16:51,MP1,FCE,BTLH,F,AHY,3.8,50.1,19.1,31.8,5.8,VL,,L,,
9000-39325,6/12/2007,17:05,MP1,FCE,BTLH,F,AHY,3.7,50.4,19.3,30.5,5.6,,,M,,E6
9000-39326,6/13/2007,10:05,KV1,FCE,BTLH,F,AHY,3.2,49.4,18.1,31.5,5.4,N,,L,,E6
9000-39327,6/13/2007,10:18,KV1,FCE,BTLH,F,AHY,3.4,50,18.2,30,5.3,N,5c,M,,E6
9000-39328,6/13/2007,10:18,KV1,FCE,BTLH,F,AHY,4.2,49.8,18,30.5,5.3,N,1c,M,,E9
9000-39329,6/13/2007,10:27,KV1,FCE,BTLH,F,AHY,3.9,49.2,20,29,5,L,,L,,"E8, r3-5 LTW, skeleton r1"
9000-39330,6/13/2007,10:35,KV1,FCE,BTLH,F,AHY,3.9,51,18,29.5,5.5,N,3c,H,,E7
9000-39331,6/13/2007,10:41,KV1,FCE,BTLH,F,AHY,3.6,51.2,19.1,30.2,5.2,L,,L,,E6
9000-39332,6/13/2007,10:47,KV1,FCE,BTLH,F,AHY,3.4,51.1,18,29.5,6,N,,M,,recently laid egg
9000-39333,6/13/2007,11:18,KV1,FCE,BTLH,F,AHY,3.2,51.4,18.8,30.5,5.3,N,,H,,c.p.
9000-39334,6/13/2007,11:38,KV1,FCE,BTLH,F,AHY,3.6,51.3,18.5,31,5,N,,M,,E6
9000-39335,6/13/2007,11:43,KV1,FCE,BTLH,F,AHY,3.6,50.5,19.2,29.8,5.4,M,1c,M,,"c.p., r3-5 MTW, old r1s"
9000-39336,6/13/2007,11:52,KV1,FCE,BTLH,F,AHY,3.3,51.5,18.5,30.8,5.3,VL,,M,,c.p.
9000-39337,6/13/2007,11:57,KV1,FCE,BTLH,F,AHY,3.8,49.7,19.7,30.5,5.8,N,,L,,E7
9000-39338,6/13/2007,12:08,KV1,FCE,BTLH,F,AHY,3.5,51.6,18.2,29.8,5,N,7 v sm,L,,"c.p., old r1s"
9000-39339,6/13/2007,13:30,GNMTN,TBE,BTLH,F,AHY,3.9,49.5,18.2,30,5.5,M-H,1 gn c,L,,r1s skeleton
9000-39340,6/13/2007,13:35,GNMTN,TBE,BTLH,F,AHY,3.6,50.3,18.9,30,6,N,,M-H,,"E7, spider webs on feathers"
9000-39341,6/13/2007,13:48,GNMTN,FCE,BTLH,F,AHY,3.8,50.4,18.4,31,6,,,M,,"E7, slightly decurved bill"
9000-39342,6/13/2007,13:50,GNMTN,FCE,BTLH,F,AHY,3.6,50.5,18.5,30,6,N,,M,,E7
9000-39343,6/13/2007,14:20,GNMTN,TBE,BTLH,F,AHY,3.4,49.7,18.9,30.2,5,N,,L,,r2-5 buff fringes at tip
9000-39344,6/13/2007,14:27,GNMTN,TBE,BTLH,F,AHY,3.9,49.6,19,30,6,N,,M,,"E9, old plumage"
9000-39345,6/13/2007,14:27,GNMTN,TBE,BTLH,F,AHY,4,50.9,18,31,6,N,3c,M,,"E9+, r3 buff tip, y. pollen on bill"
9000-39346,6/13/2007,15:00,GNMTN,TBE,BTLH,F,AHY,3.3,49.8,18.5,31,5.5,L,1 v sm,VL,,"E6, r1 skeleton, pollen on throat"
9000-39347,6/13/2007,15:00,GNMTN,TBE,BTLH,F,AHY,3.5,49.9,19.5,31,6,N,,L,,c.p.
9000-39348,6/13/2007,15:10,GNMTN,TBE,BTLH,F,AHY,3.8,50.4,17.5,30.5,6,M,,M,,"E7, pollen on throat"
9000-39349,6/13/2007,15:15,GNMTN,TBE,BTLH,F,AHY,3.9,50,18.7,29.5,6,N,,L-M,,"E7, r3-5 buff tips, cobwebs on r1 tips "
9000-39350,6/13/2007,15:16,GNMTN,FCE,BTLH,F,AHY,4,52,18.8,30.5,6,N,,M,,"E7, cobwebs on feathers"
9000-39351,7/2/2007,7:00,MCGC,FCE,BTLH,F,AHY,3.9,48.8,18,30,5.4,N,,H,,"E8, r3-5 LTW, skeleton r1"
9000-39352,6/14/2007,6:20,MCGC,FCE,BTLH,F,AHY,3.6,49,18.9,30.1,6,L,,L-M,,"c.p., r4L LTW"
9000-39353,6/14/2007,6:47,MCGC,FCE,BTLH,F,AHY,4,49.2,18.8,29.9,5.8,M,,M,,"E6, r4-5R MTW"
9000-39354,6/14/2007,6:47,MCGC,FCE,BTLH,F,AHY,3.6,50.7,18.1,30,5.6,N,,M,,c.p.
9000-39355,6/14/2007,7:00,MCGC,TBE,BTLH,F,AHY,3.8,50.4,18,31,5.5,N,,M,,E6
9000-39356,6/14/2007,7:12,MCGC,FCE,BTLH,F,AHY,3.7,39.9,19.1,29.9,5.6,N,,L,,E6
9000-39357,6/14/2007,7:25,MCGC,TBE,BTLH,F,AHY,3.7,50.4,18.9,30,5,L,7c,M,,"c.p., old r1"
9000-39358,6/14/2007,7:25,MCGC,FCE,BTLH,F,AHY,4.1,49.5,18.8,30.2,5.5,N,,L,,E7
9000-39359,6/14/2007,7:57,MCGC,FCE,BTLH,F,AHY,3.5,51.8,18.5,30,5,L,,M,,"c.p., r5 LTW, r1 skeleton"
9000-39360,6/14/2007,8:11,MCGC,FCE,BTLH,F,AHY,3.3,49.4,18.5,30,5.5,N,8 lg c,M,,c.p.
9000-39361,6/14/2007,8:11,MCGC,FCE,BTLH,F,AHY,3.2,48.9,18,29.2,5.5,L,,L,,
9000-39362,6/17/2007,6:55,MCGC,FCE,BTLH,F,AHY,4,51.8,18,30.1,5.8,N,4 v sm,L,,c.p.
9000-39363,6/17/2007,7:08,MCGC,FCE,BTLH,F,AHY,3.7,49.7,18,30.2,5.6,N,,H,,c.p.
9000-39364,6/17/2007,7:20,MCGC,FCE,BTLH,F,AHY,3.9,49.5,18.3,30.2,5.2,N,3 sm,L,,"E6, or pollen at base of bill"
9000-39365,6/17/2007,7:30,MCGC,FCE,BTLH,F,AHY,3.6,50.5,17.2,31.2,6,N,4c,L,,E6
9000-39366,6/17/2007,7:58,MCGC,FCE,BTLH,F,AHY,3.4,50.8,18.8,29,5.7,VL,,M,,"c.p., r3-5 LTW, r1s- str. bar near tip"
9000-39367,6/17/2007,8:04,MCGC,FCE,BTLH,F,AHY,4.3,48.7,18.9,29.2,5.7,N,,L,,E7
9000-39368,6/17/2007,15:32,MP1,TBE,BTLH,F,AHY,4.1,49.9,18,30,6,H,,M,,"e9+, old r1s"
9000-39369,6/17/2007,15:36,MP1,TBE,BTLH,F,AHY,3.2,48.5,18,30,6,L,,VL,,"c.p., missing throat feathers"
9000-39370,6/17/2007,15:55,MCGC,TBE,BTLH,F,AHY,3.3,49.9,18.3,31,5.6,N,,VL,,c.p.
9000-39371,6/17/2007,16:31,MP1,TBE,BTLH,F,AHY,3.4,49.8,19,30,5.5,N,,L ,,E6
9000-39372,6/17/2007,16:31,MP1,TBE,BTLH,F,AHY,4.2,51.2,18.9,31.4,5.7,N,1c,L,,"E6, at L. base of bill, minor old injury"
9000-39373,6/17/2007,16:55,MP1,TBE,BTLH,F,AHY,3.6,50.3,18.1,30,5,N,3c,L,,c.p.
9000-39374,6/17/2007,17:05,MP1,TBE,BTLH,F,AHY,3.4,49.3,18.5,31.5,5,N,5c,VL,,E6+
9000-39375,6/17/2007,17:05,MP1,TBE,BTLH,F,AHY,3.6,50.7,19.5,30.5,5,N,,VL,,c.p.
9000-39376,6/17/2007,17:05,MP1,TBE,BTLH,F,AHY,3.7,48.9,16.8,30,5.5,N,4c,H,,c.p.
9000-39377,6/17/2007,17:30,MP1,TBE,BTLH,F,AHY,3.7,48.9,18,30,5,N,5c,H,,E6
9000-39378,6/18/2007,7:00,MCGC,FCE,BTLH,F,AHY,3.8,48.9,18,29.7,5.5,L,,L,,"c.p., r4R LTW"
9000-39379,6/18/2007,7:34,MCGC,FCE,BTLH,F,AHY,3.9,49,18.8,30.3,5,N,8c,H,,c.p.
9000-39380,6/18/2007,7:52,MCGC,FCE,BTLH,F,AHY,3.5,48.9,18.5,30.2,5.5,N,,L-M,,c.p.
9000-39381,6/18/2007,8:00,MCGC,TBE,BTLH,F,AHY,3.8,50,18,30,5,N,,L-M,,E7
9000-39382,6/18/2007,8:10,MCGC,FCE,BTLH,F,AHY,3.4,49.2,17.9,29,5.8,N,5+ sm,H,,c.p.
9000-39383,6/19/2007,9:20,MP1,FCE,BTLH,F,AHY,3.7,51.4,19.3,30.2,5.2,N,3 sm gn,H,,c.p.
9000-39384,6/19/2007,9:30,MP1,FCE,BTLH,F,AHY,4.7,50.6,17.2,29.9,5.2,N,,L-M,,E8
9000-39385,6/19/2007,9:30,MP1,FCE,BTLH,F,AHY,3.6,51.2,18.9,30.2,5.2,N,2c,M,,post egg laying
9000-39386,6/19/2007,9:30,MP1,FCE,BTLH,F,AHY,3.6,50.6,19.2,30.1,5,L,1 v sm,L,,"E6, r5R LTW"
